wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-183.wav|This is a game of economic strategy. You can't directly attack the other players. You'll have to do something else.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-188.wav|You do realize the game is called Suzerainty and not Workers' Paradise, right?
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-190.wav|I don't think the suzerain cares much about the welfare of its workers. Here, watch this...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-200.wav|No, not at all. I suspect this is going to be a rather low-scoring game...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-204.wav|I have no idea what 'lesson' you think you taught me. Somehow I don't think this is going to work out well for either of us...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-205.wav|Now we find out what's left of our economies...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-208.wav|Points are nothing. They don't exist. They're just an arbitrary convention that games use to reward or punish players for certain behaviours.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-213.wav|That's just the way it is.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-217.wav|Game designers, I imagine.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-219.wav|Otherwise, no. There are no points, just your actions and the consequences of those actions.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-221.wav|Now, I believe it's your turn...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-224.wav|You know, detective, there's... something admirable about that, in its own way...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-225.wav|Let's tally up the scores, shall we?
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-231.wav|Yes, you're really sticking it to the game designers, just like I'm about to stick it to you...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-233.wav|Are you sure?. It's going to take a while to set everything up again.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-236.wav|Are you sure?. It's going to take a while to set everything up again.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-238.wav|C'mon, detective. This is the endgame! Let's just finish up quickly.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-249.wav|You should probably pick one strategy and stick to it. Trying to do a little of everything is usually a bad idea.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-260.wav|A risky gambit, detective. Sorry it didn't pay off.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-267.wav|Not bad, detective.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-268.wav|An aggressive opening, detective,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-276.wav|Well, winning is usually the point of playing games. Here, watch this...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-277.wav|I'm not going to play with you if you're going to act like a child. Now come on, take your turn.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-307.wav|Take a look at the scoring tables in the back...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-308.wav|You see in Table 8c that investing in territorial infrastructure multiplies your final victory point total by 1x, which is to say, not at all, whereas erecting monuments in Revachol gives you a multiplier of 5x...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-318.wav|Now, let's tally up the scores, shall we?
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-322.wav|I hope you learned your lesson,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-325.wav|Never fuck with Kim Kitsuragi.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-326.wav|Now, let's tally up the scores, shall we?
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-328.wav|Now, let's tally up the scores, shall we?
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-332.wav|Don't be a sore loser, detective. Your moves were your own...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-333.wav|That might have helped, yes...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-341.wav|In your dreams, maybe. I've thrashed my share of trash-talkers before. Now come on, let's put childish things aside.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-351.wav|Holy shit, the average playing time for this game is one to six hours...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-352.wav|Hmmm, I do feel like my thinking has become somewhat rigid. Maybe a little diversion to keep the mind limber is just what's in order...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-354.wav|Alright, detective. Your turn.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-356.wav|That's a subject for another time. All you need to know is that they're a powerful transnational organization, of which the Coalition and by extension the RCM are but one small piece.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-374.wav|As I recall, it was your turn, detective.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-375.wav|As I recall, it was your turn, detective.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-376.wav|Hmmm... this doesn't look right to me. I think we need to start over, unfortunately...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-379.wav|I've got 26 points,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-380.wav|Looks like you won convincingly... well played, detective.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-383.wav|I've got 26 points,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-384.wav|Don't be glum, detective. There's always next time. Figuratively, I mean. There's no way we have time to play this game again...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-387.wav|I've got 15 points,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-388.wav|A tie,. Well, I suppose that's what we deserve for trashing the suzerain's economy. Good game, detective.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-391.wav|I've got 15 points,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-392.wav|Don't look too glum, detective. There's always next time. Figuratively, I mean. There's no way we have time to play this game again...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-395.wav|Hey, at least you went out playing the game how you wanted. There's something to be said for that.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-396.wav|Ouch,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-401.wav|You know, detective, there's... something admirable about that, in its own way...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-402.wav|Come on, detective, you knew the rules of the game going in...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-403.wav|That might have been a good idea, yes...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-404.wav|Now, let's tally up the scores, shall we?
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-408.wav|I've got 20 points,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-409.wav|Well, there's always next time. Figuratively, I mean. There's no way we have time to play this game again...
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-410.wav|I've got 20 points,
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-411.wav|Now, let's clean up and get back to work.
wavs/Kim Kitsuragi-INVENTORY  SUZERAINTY GAME-413.wav|Alright, detective, you win. How do we play this game?
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-84.wav|Mmm...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-91.wav|Right behind you, officer.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-128.wav|Damn... this...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-135.wav|So, what we are experiencing is... a concentration of radio waves...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-147.wav|But... even if this is true... . Weren't you worried this 'lynching' might lead to...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-156.wav|How do you know this?
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-176.wav|All good, officer. Be careful.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-180.wav|Ma'am, put the gun down. That's not the solution to your problems. You are...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-209.wav|Titus and his boys, ma'am. They told us you were on the coast.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-268.wav|That's illegal. I'm guessing it's patented... But we're beyond that, aren't we?
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-280.wav|Damn... this...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-312.wav|Hmgh... she's right. No one mentioned hearing... shots. I... the shot didn't come from the roof.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-317.wav|Officer, are you okay?
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-417.wav|Police radio? You've been... following the case?
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-418.wav|It's okay... We just want to... hnghhhhh...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-481.wav|Good call...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-494.wav|Yeah, I'm sure.... I would have done the same had I not been incapacitated...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-499.wav|Really? That's... your takeaway? I'm certain she didn't do it.. Her tent. We should check it out.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-500.wav|Her tent. We should check it out.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-501.wav|I have a feeling... we didn't.. Her tent. We should check it out.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-502.wav|All things considered.... ...that could've gone worse.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-507.wav|No, I don't think she did it... She's someone else's case now.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-509.wav|Now we have to come up with a really good excuse... for why we walked right into a trap like that. This isn't going to look good in the report.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-510.wav|Her tent! Maybe there's something in there.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-512.wav|Okay... you said it. You needed to say it. Now it's been said,. We need to clean up.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-516.wav|Fuck.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-519.wav|Lieutenant-yefreitor Du Bois,. Control your emotions. We did our job. This won't be the worst thing that happens on this case... believe me. You can't let this break you.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-522.wav|We clean up.. It may take days for processing to pick up her body. We need to move it somewhere...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-555.wav|I would have done the same.... Had I not been incapacitated...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-557.wav|Our job. It went really bad. And now we need to clean it up.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-558.wav|that tent there.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-564.wav|We're cops. Everything is our fault, if we let it be...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-574.wav|Detective,. control your emotions. We did our job. This won't be the worst thing that happens to us on this case, believe me... You can't let this break you.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-600.wav|that tent there.
wavs/Kim Kitsuragi-LAIR  INSTIGATORS TENT-27.wav|I see the processing guys have been faster than usual. It's good we stopped by to check regardless.. Now, island time.
wavs/Kim Kitsuragi-LAIR  INSTIGATORS TENT-40.wav|See anything?
wavs/Kim Kitsuragi-LAIR  INSTIGATORS TENT-52.wav|We should put her in the sleeping bag so the rats don't get to her.
wavs/Kim Kitsuragi-LAIR  INSTIGATORS TENT-74.wav|We should read this immediately. Like, right now.
wavs/Kim Kitsuragi-BACKYARD  STONE PERC-10.wav|This must be for the front door. Pity it doesn't have the apartment number on it. This building has hundreds of apartments.
wavs/Kim Kitsuragi-BACKYARD  STONE PERC-16.wav|This must be for the front door. Let's see if it works.
wavs/Kim Kitsuragi-BACKYARD  STONE PERC-17.wav|We'll just have to go in and see.
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-13.wav|We will remove the body as soon as possible. Now tell us, where were you last Sunday?
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-26.wav|And when did you speak to this more muscular gentleman?
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-43.wav|What were you doing last Sunday?
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-52.wav|You didn't answer the question. What were you doing last Sunday?
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-101.wav|He's gone.
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-103.wav|No point in running. Tenements like these often have multiple exits. If he doesn't want to talk to us, then he'll know how to hide himself.
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-106.wav|He could be a witness, him or his Sunday friend. Either way we need to look into that muscular type who's asking about our case...
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-116.wav|He could be a witness, him or his Sunday friend. It's worth looking into...
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-117.wav|He could be a witness. And either way we need to look into that muscular type who's asking about our case...
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-118.wav|He could be a witness. We shouldn't rule out the possibility...
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-122.wav|There has to be a way of getting inside the building. Once we've found the way in, we can ask around for his apartment.
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-123.wav|He did leave us a sign, did you see that? He wanted to draw our attention to that stone right over there.
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-127.wav|If we find a way inside the building, we can ask around for his apartment.
wavs/Kim Kitsuragi-BACKYARD  SMOKER ON THE BALCONY-218.wav|There has to be a way of getting inside the building, let's go check out the door near the pier again. Once we've found the way in, we can ask around for his apartment.
wavs/Kim Kitsuragi-BACKYARD  STONE-10.wav|This must be for the front door. Pity it doesn't have the apartment number on it. This building has many apartments and the man can be in any of them...
wavs/Kim Kitsuragi-BACKYARD  STONE-16.wav|This must be for the front door. Let's see if it works.
wavs/Kim Kitsuragi-BACKYARD  STONE-17.wav|We'll just have to go in and see.
wavs/Kim Kitsuragi-BOOKSTORE  BACK DOOR-10.wav|Detective, you're the one in charge.
wavs/Kim Kitsuragi-BOOKSTORE  BACK DOOR-43.wav|You're not thinking of trying again, are you?
wavs/Kim Kitsuragi-BOOKSTORE  BACK DOOR-54.wav|Are you alright?. This looked... pretty intense and painful, I must admit.
wavs/Kim Kitsuragi-INVENTORY  PRIMER-28.wav|Good. I also know the alphabet.
wavs/Kim Kitsuragi-BOOKSTORE  PLAISANCE-881.wav|Ma'am, what he's saying is true. We found an entroponetic anomaly in the Small Pinewood Church down the coast. I don't mean to be an alarmist, and more research is needed, but... it's not looking good.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-601.wav|Her tent! Maybe there's something in there.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-602.wav|I have a feeling... we didn't.. Her tent. We should check it out.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-603.wav|Her tent. We should check it out.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR-604.wav|Really? That's... your takeaway? I'm certain she didn't do it.. Her tent. We should check it out.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-6.wav|No. What do you mean?
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-11.wav|Hmm.... Either way, we ought to be careful. There were footprints back there. And I'm pretty sure they were fresh.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-17.wav|No, but you're the sensitive one.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-18.wav|Possibly. If she's in here, we need to plan our next step carefully.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-19.wav|Looks like our suspect, if she's in here, we need to plan our next step carefully.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-24.wav|Once we detain a credible suspect, who knows what the Union and the Wild Pines will do? We'll set in motion events we have no control over.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-34.wav|You're right, there won't be time to do that when the dominoes are falling. At the first sign of danger, they will shut the place down for good.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-36.wav|You're right, however corrupt he may be, nothing happens in Martinaise without him knowing. We might have to dirty our hands, but...
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-38.wav|I'll leave that to your judgement. You already know what I think about cross-pollinating information like this. It's dangerous, but...
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-40.wav|I don't know, little things?. But you're right. We've gotten everything we can from the Union.
wavs/alternative-0-Kim Kitsuragi-LAIR ORB  beware shivers-40-0.wav|I don't know, little things?. But you're right. We've gotten everything we can from the Union, we even opened that container...
wavs/alternative-1-Kim Kitsuragi-LAIR ORB  beware shivers-40-1.wav|I don't know, little things?. But you're right. We've gotten everything we can from the Union, we even did the borscht thing...
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-46.wav|Definitely. It amazes me how we've managed not to... The Wild Pines has information that may be critical to our case.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-47.wav|Definitely. I think she knows something, about the mercenaries, maybe. And she won't be around if the situation explodes.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-48.wav|Ah, yes. There won't be time for that once things go down. Matter of fact, I don't think there's time for it now, but...
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-51.wav|I still don't think that was a good idea, but, yes, our affairs with the Wild Pines are in order. Since she isn't in Martinaise anymore.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-53.wav|You think we should finish running it now?. Maybe you're right. It might not be as useful later...
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-55.wav|Okay, why not. Whatever goes down might also affect her. The Union is watching her closely now...
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-58.wav|You mean Lena? I don't see how cryptozoology and the murder investigation are connected. But... the situation in the city will get tense for everyone.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-61.wav|Well... we're not responsible for what we can't predict, are we? I don't think the entire city will be razed to the ground.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-64.wav|I think I see a cavern.... Maybe more cellars? I think we've been careful enough, we still have the element of surprise.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-66.wav|Or... maybe not.. Either way, once we go deeper, there will be no turning back.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-72.wav|You mean Morell? I don't see how cryptozoology and the murder investigation are connected. But... the situation in the city will get tense for everyone.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-73.wav|I don't feel it, but.... We should still be careful. There were footprints back there. And I'm pretty sure they were fresh.
wavs/Kim Kitsuragi-LAIR ORB  beware shivers-76.wav|We absolutely cannot skip that appointment.. Consider that 100% confirmed. I fear you'll need your gun for this...
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-14.wav|Well, my amnesiac friend, Mazov is the father of scientific communism. His theories about economic history greatly influenced, some would even say sparked, the Antecentennial Revolution.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-20.wav|Yes, I can see that. Looks like some communists were hiding out here. They left a long time ago.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-22.wav|Yes. Looks like some latter-day radicals were hiding out here. They left a long time ago.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-23.wav|Some radical, or radicals, were hiding out here. They left a long time ago.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-29.wav|Yes, some radical, or radicals, were hiding out here but left a long time ago.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-30.wav|Yes. And it looks like some latter-day radicals were hiding out here but left a long time ago.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-31.wav|If you wish. At any rate, looks like some Mazovians were hiding out here but left a long time ago.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-32.wav|Looks like some radical, or radicals, were hiding out here but left a long time ago.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-39.wav|What most people think of as history has a tendency to linger in run-down neighbourhoods. Martinaise being what it is, no one has gone through the trouble of cleaning out the old bunkers.
wavs/alternative-0-Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-39-0.wav|We have found a lot of those lately... I guess what most people think of as history tends to linger in run-down neighbourhoods. Martinaise being what it is, no one has gone through the trouble of cleaning out the old bunkers.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-40.wav|I won't stand in your way, but only after we're through with this case.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-42.wav|Half a century? This was probably part of the network of defence posts the communards built against the amphibious landing.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-43.wav|I think the purpose of this bunker was to produce propaganda. It would have had radio equipment back then, but that's all been looted.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-46.wav|You mean, like Ruby? No. I think we've stumbled on a piece of history.
wavs/Kim Kitsuragi-LAIR  KRAS MAZOV PORTRAIT-48.wav|Millions of depictions of Mazov have been produced. They're not all connected, besides, that looked like some student. The youths always go for this kind of stuff...
wavs/Kim Kitsuragi-LAIR ORB  shot viscal-38.wav|It's a great place to hide, certainly, but there hasn't been anyone here in ages.
wavs/alternative-0-Kim Kitsuragi-LAIR ORB  shot viscal-38-0.wav|It's a great place to hide, and Mazovianism and murder are certainly not mutually exclusive. But there hasn't been anyone here in ages.
wavs/Kim Kitsuragi-LAIR ORB  shot viscal-39.wav|It's a great place to hide, certainly, but there hasn't been anyone in here for ages.
wavs/alternative-0-Kim Kitsuragi-LAIR ORB  shot viscal-39-0.wav|It is a great place to hide, and Mazovianism and killing are certainly not mutually exclusive. But there hasn't been anyone here in ages.
wavs/Kim Kitsuragi-LAIR ORB  shot viscal-45.wav|Indeed. No one could get a clear view. Well, at least we've been thorough. I like thorough.
wavs/Kim Kitsuragi-LAIR ORB  shot viscal-51.wav|In fact, I think we're done with this bunker.. After you, officer.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-35.wav|There could be useful information about local operations in those notes. We have a junior sergeant at my station who's good with codes, I can give this to her after we finish this.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-82.wav|The head of a major Jamrock gang specializing in drug production and trafficking, a very bad person.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-83.wav|Could have been Titus. Then again...
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-85.wav|It looks like she might have been... framed?
wavs/alternative-0-Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-85-0.wav|I just don't think she killed the mercenary. It's mostly a gut feeling, though, since we let her walk out without hearing her side of the story.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-86.wav|No, I don't think you are.. Ask someone in your precinct if you want to be sure.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-91.wav|She was in plenty of trouble even without the murder charge.. Still, it's a nasty business.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-97.wav|Either way, we need to keep an eye on him. Somewhere along the way, we might have been fed a lie or two...
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-100.wav|Maybe she had an accomplice. Either way, we need to keep an eye on her.
wavs/alternative-0-Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-100-0.wav|Maybe she had an accomplice. Either way, we should go back to the Whirling, see if we can find out more about her time there.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-107.wav|Klaasje was the one who pointed the finger at Ruby. Perhaps she was trying to steer us away from herself? Or...
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-108.wav|I wouldn't go so far as to say that, we have other reasons to arrest her.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-110.wav|One thing is for certain: We have business back in the Whirling-in-Rags. Questions to ask. We should get to it.
wavs/alternative-0-Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-110-0.wav|One thing is for certain: We have business back in the Whirling-in-Rags. Questions to ask. Let's be careful though, the tip she gave us about the tribunal was... disturbing.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-113.wav|Besides, I'm not sure her life as a fugitive is going to be much better than with us.
wavs/alternative-0-Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-113-0.wav|Besides, I'm not sure her life as a fugitive is going to be much better than with us. Especially if she has problems with the Madre.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-114.wav|Either way, we need to keep an eye on her.
wavs/alternative-0-Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-114-0.wav|Either way, we should go back to the Whirling, see if we can find out more about her time there.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-117.wav|Maybe there's a Hardie boy we've yet to meet who acted as his accomplice? Either way, we need to keep an eye on him.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-118.wav|I don't think she killed the mercenary.. It looks like she might have been... framed?
wavs/alternative-0-Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-118-0.wav|I don't think she killed the mercenary.. It looks like she might have been... framed? Too bad we didn't really get to hear her side of the story.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-126.wav|We could learn a lot from this.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-127.wav|It's good she left in a hurry. We could learn a lot from this...
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-141.wav|What about this 'M'?. Could this be La Puta Madre? Here: March 9th and March 15th.
wavs/Kim Kitsuragi-INVENTORY  RUBY'S JOURNAL-167.wav|By the Hardie boys, by Klaasje, by us.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR CASE-5.wav|Hmh... No one mentioned hearing any shots. And a rifle like the one used would have been loud. She's right... I don't think the shot came from... the roof.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR CASE-136.wav|She has a... point there. No one mentioned...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR CASE-197.wav|No one takes a.... fifteen-minute leak.
wavs/Kim Kitsuragi-LAIR  INSTIGATOR CASE-200.wav|Goddamnit...
wavs/Kim Kitsuragi-LAIR  INSTIGATOR CASE-203.wav|A breechloader?
wavs/Kim Kitsuragi-LAIR  INSTIGATOR CASE-235.wav|Hnghh...
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-7.wav|After you climbed up to the roof, you mean? There's a maintenance entrance under the boardwalk. It's next to a drain pipe, possibly a storm drain, it was easy to miss before.
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-10.wav|Officer? Are you okay in there?
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-11.wav|What do you mean 'who's there'? It's me, Kim. Stop playing around and help me get this door open.
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-14.wav|Huh, I hope no one dangerous heard that.
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-17.wav|At least now we have an exit. So, let's get going. It's time to investigate these passages...
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-18.wav|Yes, we have an exit. So, let's get going. Time to investigate these passages...
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-21.wav|Yes, yes, it's cool to risk your life climbing rickety ladders. Anyway, let's investigate these passages...
wavs/Kim Kitsuragi-LAIR  EXIT DOOR-31.wav|Yes. Time to investigate these passages. Let's move quietly and not make more sound.
wavs/Kim Kitsuragi-LAIR  DRAINAGE PIPE-13.wav|Given that this isn't a martial arts thriller,. it's highly unlikely, and not without risk to our health either.
wavs/Kim Kitsuragi-LAIR  DRAINAGE PIPE-22.wav|However, the pipe suggests there may be an entrance to the basement around...
wavs/Kim Kitsuragi-LAIR  DRAINAGE PIPE-32.wav|Let's take a breather and try this again later? It's... very tough.
